title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
2gether,2020,,"['Comedy', 'Drama', 'Romance']","A student named Tine wants to get rid of a gay admirer. His friends recommend getting a pretend boyfriend, Sarawat, who plays hard to get until he finally agrees. The two become close and intense emotions soon erupted.",7.9,1276,50,,,"['Vachirawit Chivaaree', 'Metawin Opas-Iamkajorn', 'Chinnarat Siriphongchawalit', 'Sivakorn Lertchoochot']",
3 Geezers!,2013,,['Comedy'],"Follow actor J Kimball as he researches what it's like to be old for a role in an upcoming movie. When he meets the residents at The Coconuts convalescent home, he quickly discovers that ...",3.3,726,81,,,"['J.K. Simmons', 'Tim Allen', 'Scott Caan', 'Basil Hoffman']",['Michelle Schumacher']
3 Türken & ein Baby,2015,,['Comedy'],"The Yildiz brothers - Celal, Sami and Mesut - still live under one roof - despite their differences. The family bridal shop is doing really badly and they each yearn for a different life: ...",5.5,1646,95,,,"['Kida Khodr Ramadan', 'Eko Fresh', 'Kostja Ullmann', 'Sabrina Klüber']",['Sinan Akkus']
3%,2016,2020,"['Action', 'Drama', 'Sci-Fi']","A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.",7.4,22943,49,,,"['Bianca Comparato', 'Vaneza Oliveira', 'Rodolfo Valente', 'Zezé Motta']",
300,2006,,"['Action', 'Drama']",King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,7.6,751815,117,210.61,,"['Gerard Butler', 'Lena Headey', 'David Wenham', 'Dominic West']",['Zack Snyder']
300: Rise of an Empire,2014,,"['Action', 'Drama']","Greek general Themistokles of Athens leads the naval charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.",6.2,286734,102,106.58,,"['Sullivan Stapleton', 'Eva Green', 'Lena Headey', 'Hans Matheson']",['Noam Murro']
365 dni,2020,,"['Drama', 'Romance']","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.",3.3,63620,114,,,"['Anna Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski', 'Otar Saralidze']","['Barbara Bialowas', 'Tomasz Mandes']"
37 sekanzu,2019,,['Drama'],"Yuma is a young Japanese woman who suffers from cerebral palsy. Torn between her obligations towards her family and her dream to become a manga artist, she struggles to lead a self-determined life.",7.3,2345,115,,,"['Nanami Kawakami', 'Makiko Watanabe', 'Mei Kayama', 'Shizuka Ishibashi']",['Hikari']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","Stuart gets an unexpected visit from his ex-girlfriend. Krel helps Toby and Eli produce a short film, ""Kleb or Alive,"" for a local contest.",7.2,135,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Nick Frost']",['Johane Matte']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']",Colonel Kubritz stages a phony quarantine of Arcadia High School in a ploy to capture the royals -- and their advanced weapons technology.,7.8,139,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close']","['Elaine Bogan', 'Francisco Ruiz-Velasco']"
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","Aja and Krel enlist Stuart to help find their former ally, who's being held prisoner at a bounty hunter outpost on the moon.",8.0,141,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Nick Frost']",['Johane Matte']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","With General Morando's invasion of Earth imminent, Krel tries to stop the fleet's advance with unwitting help from the kids of Arcadia.",7.5,136,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close']",['Elaine Bogan']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","Krel builds a prototype device that will create a wormhole back to Akiridion-5, but Luug swallows it whole before it can be tested further.",7.2,133,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close']",['Johane Matte']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","Left vulnerable after Omen's attack, the royal heirs look to conceal their damaged ship but are soon confronted by the bounty hunter Magmatron.",7.9,143,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close']",['Andrew L. Schmidt']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","Trolls, humans, gnomes and aliens alike all manner of creatures stop to celebrate the new year. Because who doesn't love a good party?",7.6,5,1,,,,
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","Mother, the AI controlling the royals' ship, reflects on keeping the peace between her quarreling family. Morando discovers a secret hidden on Earth.",7.6,137,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Nick Frost']",['Andrew L. Schmidt']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']","Unable to stop an asteroid hurtling toward Earth, Kubritz pleads with the royals to help destroy it by offering stored alien technology from Area 49B.",8.0,146,22,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close']",['Andrew L. Schmidt']
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']",The last defenders of House Tarron face off against General Morando and his army of Omen robots in an all-out battle for survival.,8.3,137,23,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Glenn Close']","['Elaine Bogan', 'Francisco Ruiz-Velasco']"
3Below: Tales of Arcadia,2018,2019,"['Animation', 'Action', 'Adventure']",A pair of teenage royals and their bodyguard escape from their home planet and try to blend in on Earth.,7.7,5095,24,,,"['Tatiana Maslany', 'Diego Luna', 'Nick Offerman', 'Frank Welker']",
