title,start_year,end_year,genre,plot_summary,rating,votes,run_time,gross,production_type,actors,director
Tribes of Europa,2021,Ongoing,"['Action', 'Adventure', 'Drama']","Elja, Moses and Amena enlist Bracker's help to fix the Cube. Liv's plan hits a snag. Lord Varvera asks Kiano about his past.",7.1,485,49,,Series,"['Henriette Confurius', 'Emilio Sakraya', 'David Ali Rashed', 'Oliver Masucci']",['Florian Baxmeyer']
Tribes of Europa,2021,Ongoing,"['Action', 'Adventure', 'Drama']","Liv must choose to support either Commander David Voss or the Father, General Cameron. Lord Varvara engages Kiano and then decides whether he earns a bid at the Boj. Elija and Moses struggle to reclaim the cube from Bracker.",7.3,477,44,,Series,"['Henriette Confurius', 'Emilio Sakraya', 'David Ali Rashed', 'Melika Foroutan']",['Florian Baxmeyer']
Tribes of Europa,2021,Ongoing,"['Action', 'Adventure', 'Drama']",In the season finale the three Origine siblings face individual challenges. Kiano faces a shocking rival in his bid to leave his slave status and become a Bozie. General Cameron's bid for ...,7.6,535,47,,Series,"['Henriette Confurius', 'Emilio Sakraya', 'David Ali Rashed', 'Melika Foroutan']",['Philip Koch']
The Drew Barrymore Show,2020,Ongoing,['Talk-Show'],"It's Monday. Reunited and it feels so good - Adam Sandler is right here to chat about his latest movie Hubie Halloween, and it's was going to be a scary good time. Drew and Jill Kargman are...",7.2,5,43,,Series,"['Drew Barrymore', 'Adam Sandler', 'Jill Kargman', 'Damona Hoffman']",
The Drew Barrymore Show,2020,Ongoing,['Talk-Show'],"The man, the myth, the legend Stanley Tucci is right here to talk about his new movie The Witches, and we are freaking out!!. He'll also get to meet our favorite little drink critic, The ...",,,43,,Series,"['Drew Barrymore', 'Stanley Tucci', 'Noah Schnapp', 'Leo Kelly']",['Adam Heydt']
The Drew Barrymore Show,2020,Ongoing,['Talk-Show'],"Drew will invites Dr. Phil to joining us our show to share about the secret to keeping his program fresh after an incredible 19 seasons on-air, and then, we'll also have China Anne McClain ...",,,43,,Series,"['Drew Barrymore', 'Phil McGraw', 'China Anne McClain', 'Ross Mathews']",
The Drew Barrymore Show,2020,Ongoing,['Talk-Show'],"Drew is was so excited to welcome Darcy Miller back to the show to share more ghoulish tips for this holiday season. Ashley Park is also here to giving us an incredible performance, plus, ...",,,37,,Series,"['Drew Barrymore', 'Ashley Park', 'Sheila Hammond', 'Darcy Miller']",['Adam Heydt']
Monster: The Jeffrey Dahmer Story,2022,Ongoing,"['Biography', 'Crime', 'Drama']",,,,,,Series,"['Shaun J. Brown', 'Colin Ford', 'James Hunter', 'Richard Jenkins']",['Carl Franklin']
50M2,2021,Ongoing,"['Comedy', 'Drama', 'Thriller']","While seeking answers about his parents, Shadow reveals a dark truth linked to his long-time benefactor, Servet, who employs him as his right-hand man.",6.9,148,51,,Series,"['Engin Öztürk', 'Kürsat Alniaçik', 'Cengiz Bozkurt', 'Aybüke Pusat']",['Selçuk Aydemir']
Selena: The Series,2020,2021,"['Biography', 'Drama', 'Music']","Selena feels conflicted about her secret relationship with Chris. Meanwhile, AB finds inspiration in a memory of a plastic flower and lost love.",7.9,135,37,,Series,"['Christian Serratos', 'Gabriel Chavarria', 'Ricardo Chavira', 'Noemi Gonzalez']",['Katina Medina Mora']
